type_of_images,algorithm,numFeatures,width,height,distance,run_num,run_time,temperature,rvecs[0],rvecs[1],rvecs[2],tvecs[0],tvecs[1],tvecs[2]
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,13,46.90399980545044,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,13,47.08899998664856,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,14,45.78600001335144,44,-37.313479055524873,2.3281110498800355,2.4174950306220069,-1.4500102410473119,1.4605504988388538,49.720470636165651
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,14,46.00999999046326,48,-40.579923394089008,7.5894113569880775,2.9697441966802458,-1.620883163808748,1.3313767906289218,50.218905299086792
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,14,46.23299980163574,56,-39.710090840307835,3.4699148355306422,2.763307901611705,-1.4897572071736958,1.4011698829824908,49.056284447918685
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,14,46.46199989318848,62,-35.745338835415851,3.2497115638143788,3.0870299114105242,-1.4549002377760876,1.4743012634524542,50.563178031406949
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,14,46.698999881744385,68,-38.960820663809095,3.0733105541322656,2.5971887381779224,-1.5720245753986515,1.3734755403416146,49.981691494261234
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,14,46.86999988555908,74,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,14,47.03699994087219,80,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,14,47.21199989318848,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,14,47.39299988746643,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,15,45.062000036239624,44,-41.944727199534675,9.9727891279744547,3.235337384217901,-1.4570857831930473,1.5578982342093162,51.304374165188491
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,15,45.27900004386902,48,-39.048053720791984,2.7976170094664372,2.7028315856717282,-1.5254512356696737,1.374161399121866,49.230284472178539
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,15,45.51400017738342,56,33.081084677422687,-6.7719372429908331,4.2665852644073166,-1.6230052210904735,1.6189844262701578,51.961660153995268
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,15,45.73100018501282,62,-38.073282895842688,5.7350415921026281,2.7937990782741573,-1.5772747147519615,1.4106606229205414,50.901960868608263
